material,chrome,temp,press,H2O added,H2O,O2,SO2,NO2,H2S,time,CR,severity,Refs.
X52,0.02,50,10,4.33,4.33,200,200,200,200,72,0.2838,3,"Liu et al., Energies, 2023."
X65,0.05,50,8,10,3.6,0,0,0,0,24,0.38,3,"Choi et al., Environmental Science Technologies, 2010."
X65,0.05,50,8,10,3.6,20000,0,0,0,24,0.61,4,"Choi et al., Environmental Science Technologies, 2010."
X65,0.05,50,8,10,3.6,41250,0,0,0,24,1.6,4,"Choi et al., Environmental Science Technologies, 2010."
X65,0.05,50,8,10,3.6,63750,0,0,0,24,0.9,4,"Choi et al., Environmental Science Technologies, 2010."
X65,0.05,50,8,10,3.6,41250,10000,0,0,24,7,4,"Choi et al., Environmental Science Technologies, 2010."
X65,0.031,50,8,20,3.6,0,0,0,0,240,0.0025,1,"Sun et al., Corrosion Science, 2022."
X65,0.031,50,8,20,3.6,1000,0,0,0,240,0.0075,1,"Sun et al., Corrosion Science, 2022."
X65,0.031,50,8,20,3.6,0,0,1000,0,240,0.0904,2,"Sun et al., Corrosion Science, 2022."
X65,0.031,50,8,20,3.6,0,1000,0,0,240,0.2126,3,"Sun et al., Corrosion Science, 2022."
X65,0.05,50,8,400,3.6,0,0,0,0,24,0.39,3,"Choi and Nesic, International Journal of Greenhouse Gas Control, 2011"
X65,0.05,50,8,0.65,0.65,0,10000,0,0,24,3.5,4,"Farelas et al., NACE Corrosion 2012, 2012."
X65,0.05,50,8,0.65,0.65,0,1000,0,0,24,0.03,1,"Farelas et al., NACE Corrosion 2012, 2012."
X65,0.05,50,8,0.65,0.65,0,500,0,0,24,0.05,2,"Farelas et al., NACE Corrosion 2012, 2012."
X65,0,50,9.5,4,4,0,0,0,0,168,5,4,"Zhang et al., International Journal of Greenhouse Gas Control, 2011."
